PRIORITAIRE;ID_indicateur;Famille;Indicateur;Description;ID_source;Nom de la ressource;Origine;Distributeur;URL;Statut_Disponibilité;couverture spatiale;actualisation;Remarque;retirer de la liste;raison
oui;1;Enjeux AEP;Capacité de production;Quantité d'eau disponible (en période d'étiage?);1;Hydrométrie – Stations DAVAR / Bassins versants aux limnimètres;DAVAR;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/01ed729cd25a4927823a228a9770b2b3;Disponible;Nouvelle-calédonie;NA;Métadonnées stations de jaugeage et limnimètres DAVAR;;
oui;2;Enjeux AEP;Longueur de réseau;Distance de linéaire total de canalisations (adduction/distribution) de l’unité de distribution;2;unité de distribution (nom à vérifier);DASS;NA;;Interne;NA;NA;Données DASS à vocation administrative interne – contacter DASS;;
oui;3;Enjeux AEP;Capacité réservoir;Volume total de stockage associé à l'unité;2;unité de distribution (nom à vérifier);DASS;NA;;Interne;NA;NA;Données DASS à vocation administrative interne – contacter DASS;;
oui;4;Enjeux AEP;Traitement;Niveau de sécurisation sanitaire (physique/chimique);2;unité de distribution (nom à vérifier);DASS;NA;;Interne;NA;NA;Données DASS à vocation administrative interne – contacter DASS;;
oui;5;Enjeux AEP;Interconnexion;Existence d’une liaison possible avec d'autres unités de distribution;2;unité de distribution (nom à vérifier);DASS;NA;;Interne;NA;NA;Données DASS à vocation administrative interne – contacter DASS;;
oui;6;Enjeux AEP;Population desservie;Nombre d'habitants alimentés par la ressource;2;unité de distribution (nom à vérifier);ISEE/DASS;NA;;Interne;NA;NA;Données ISEE/DASS – contacter ISEE pour données recensement ou DASS pour données réseau;;
oui;7;Enjeux AEP;Statut AODPE;Autorisation d'occupation du domaine public de l'eau;3;AODPE;DAVAR;GEOREP;à identifier;A vérifier;Nouvelle-calédonie;NA;Données administratives DAVAR – contacter DAVAR;;
oui;8;Enjeux AEP;Statut PPE;Niveau de régularisation administrative des périmètres;4;Périmètres de protection des eaux;DAVAR;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/b5a303d89f2f407e8c194983c86418a7/about;Disponible;Nouvelle-calédonie;NA;Données administratives DAVAR;;
oui;9;Enjeux AEP;Type d'ouvrage;Nature technique de l'ouvrage (Forage, eau sup, etc.);5;Captages d'eau;DAVAR;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/89e23d7a430b4e49b67fbd6f8a79bb7b/about;Disponible;Nouvelle-calédonie;NA;Données administratives DAVAR ;;
oui;10;Enjeux AEP;Statut captage;État d'utilisation (Actif, Secours, Abandonné);5;Captages d'eau;DAVAR;NA;;Interne;NA;NA;Données administratives DAVAR – contacter DAVAR;;
non;100;Enjeux Environnementaux;Zones UNESCO ;Superficie des intersections avec les zones inscrites au patrimoine mondial de l'UNESCO;100;zones inscrites au patrimoine mondial de l'UNESCO;CEN;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/e17f6c38b47a435e9e73c102a7a1b933/about;Disponible;Nouvelle-calédonie;NA;;;
non;101;Enjeux Environnementaux;Zones protégées provinciales;Superficie des intersections avec parcs, réserves;101;Aires protégées de la Province Sud;PSUD;PSUD;;Disponible;Province Sud;NA;Aires terrestres protégées à compiler depuis les sources des 3 provinces;;
non;101;Enjeux Environnementaux;Zones protégées provinciales;Superficie des intersections avec parcs, réserves;102;Aires protégées de la Province Nord;PNORD;PNORD;;Disponible;Province Nord;NA;Aires terrestres protégées à compiler depuis les sources des 3 provinces;;
non;101;Enjeux Environnementaux;Zones protégées provinciales;Superficie des intersections avec parcs, réserves;103;Aires protégées de la Province des Iles;PIL;PIL;;NA;Province des Iles;NA;Aires terrestres protégées à compiler depuis les sources des 3 provinces;;
non;102;Enjeux Environnementaux;KBA / ZICO;Superficie des intersections avec les zones d'intérêt biologique et biodiversité spécifique;104;Zones clés de biodiversité (KBA – Key Biodiversity Areas);CEN;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/934b1cad2b9045d8ac2c4d7b0a524f2e/about;Disponible;Nouvelle-calédonie;NA;Standards UICN;;
