id_indicateur;famille;type;nom_indicateur;description;unite;objectif;contraintes;modalités;support_spatial;Ponderation;spatialisation_H3;type_source;frequence;normalisation_methode;sens_indicateur;definition_criticite;Quantitatif/qualitatif;Discrète / continue;Relatif / absolu;Discrétisation;Représentation;Seuil vigilance;Historisation;Disponibilité donnée;Synthèse échanges Stéphane du 24 avril 2026
1;AEP;Enjeu;Capacité de production;Quantité d’eau que la source peut fournir (référence de période sèche).;m3/j;Comparer la capacité des captages à fournir de l’eau en période contrainte afin d’identifier les ressources les plus robustes ou les plus limitées.;Donnée non systématiquement disponible ou homogène selon les captages, nécessitant une consolidation des sources DAVAR.;Affectation au captage puis propagation aux unités associées (bassin versant, périmètres).;Captage;Oui;Non;Vecteur;Annuelle;Classes 3 niveaux (quantiles ou seuils métier);Positif (plus = mieux);Faible capacité = forte criticité (vulnérable), forte capacité = faible criticité;Quantitatif;Continue;Absolu;;Cercle;Seuil bas;10 ans;Oui;Donnée issue DAVAR. Indicateur porté par le captage puis propagé au BV. Discussion sur agrégation multi-captages et intégration dans analyse multicritère avec normalisation.
2;AEP;Enjeu;Longueur réseau;Longueur totale des canalisations d’eau potable.;km;Comparer l’importance des infrastructures dépendantes de chaque captage afin d’identifier ceux dont la défaillance aurait le plus d’impact.;Données issues de bases non relationnelles, nécessitant une structuration et une gestion des doublons entre unités de distribution.;Agrégation par unité de distribution puis association au captage, en évitant les doublons.;UD;Oui;Non;Vecteur;Annuelle;Classes 3 niveaux;Positif (plus = enjeu fort);Plus le réseau est long, plus les enjeux sont élevés → criticité stratégique élevée;Quantitatif;Continue;Absolu;;Cercle;;10 ans;Partielle;Donnée UD (unité de distribution). Problème de structuration base DAS (non relationnelle). Attention aux doublons si plusieurs captages alimentent une même UD.
3;AEP;Enjeu;Capacité réservoir;Quantité d’eau pouvant être stockée pour faire face aux besoins.;m3;Comparer la capacité de stockage associée aux captages afin d’identifier les systèmes les plus résilients face aux aléas.;Données non liées entre captage et unité de distribution, nécessitant un travail de modélisation des relations.;Somme des volumes par unité de distribution, puis rattachement au captage.;UD;Oui;Non;Vecteur;Annuelle;Classes 3 niveaux;Positif (plus = mieux);Faible stockage = forte criticité (manque résilience), fort stockage = faible criticité;Quantitatif;Continue;Absolu;;Cercle;;10 ans;Partielle;Indicateur UD → captage → BV. Même logique que réseau. Sert à caractériser les infrastructures AEP dans l’analyse multicritère.
4;AEP;Enjeu;Traitement;Type de traitement appliqué à l’eau avant distribution.;Classe (pas de traitement / traitement partiel / traitement complet);Comparer le niveau de sécurisation sanitaire des captages afin d’identifier ceux présentant des risques pour l’alimentation en eau potable.;Hétérogénéité des informations disponibles, nécessitant une standardisation des classes de traitement.;Attribution d’une classe standardisée par unité de distribution, puis association au captage.;UD;Oui;Non;Table;Annuelle;Catégoriel mappé (1-3);Négatif (absence = critique);Absence de traitement = criticité forte, traitement complet = criticité faible;Qualitatif;Discrète;Absolu;;Couleur;;Fixe;Partielle;Donnée UD. Sert à qualifier la sécurisation AEP. Intégré comme indicateur d’enjeu (niveau d’équipement).
5;AEP;Enjeu;Interconnexion;Présence de connexions avec d’autres réseaux d’eau.;Oui/Non;Comparer le niveau de dépendance des captages à une ressource unique afin d’identifier ceux pouvant bénéficier d’un secours.;Effet ambigu sur la criticité (réduction de vulnérabilité vs propagation des risques), nécessitant un arbitrage méthodologique.;Attribution d’un statut binaire par unité de distribution, sans agrégation complexe.;UD;Non;Non;Table;Annuelle;Binaire (1-3);Négatif (absence = critique);Absence d’interconnexion = forte criticité (pas de secours), présence = criticité faible (à confirmer);Qualitatif;Discrète;Absolu;;Texte;;Fixe;Partielle;Indicateur UD. Débat : diminue vulnérabilité mais peut propager pollution. Sens non tranché pour pondération.
6;AEP;Enjeu;Population desservie;Nombre de personnes alimentées par la ressource.;Nombre;Comparer les captages selon le nombre de personnes dépendantes afin d’identifier les ressources les plus stratégiques pour l’alimentation en eau.;Données estimées à partir de méthodes indirectes (même méthode que pour le projet pression PPE), avec incertitudes sur la répartition réelle.;Affectation par unité de distribution puis agrégation au captage.;UD;Oui;Non;Vecteur;4 ans;Classes 3 niveaux;Positif (plus = enjeu fort);Plus la population est élevée, plus le captage est stratégique → criticité élevée;Quantitatif;Continue;Absolu;;Cercle;>5000;10 ans;Partielle;Donnée UD issue de la méthode exploité dans le projet pressionPPE. Indicateur clé d’enjeu. Utilisé dans pondération multicritère.
7;AEP;Enjeu;Statut AODPE;Présence ou non d’une autorisation officielle.;Oui/Non;Comparer les captages selon leur niveau de conformité réglementaire afin d’identifier les situations à risque.;Donnée fiable mais nécessitant une mise à jour régulière pour garantir sa validité réglementaire.;Attribution directe au captage, sans transformation.;Captage;Oui;Non;Table;Mensuelle;Binaire (1-3);Négatif (non conforme = critique);Absence d’autorisation = criticité forte (non conformité);Qualitatif;Discrète;Absolu;;Couleur;Non;5 ans;Oui;Indicateur captage. Donnée réglementaire DAVAR. Oui/non. Important pour conformité et intégration dans analyse.
8;AEP;Enjeu;Statut PPE;Statut de protection légal et spatial autour de la ressource d’eau potable.;Oui / En cours / Non / historique (Etat);Comparer les captages selon leur niveau de protection afin d’identifier ceux les plus exposés aux pressions.;Processus d’instruction long avec état intermédiaire. ;Attribution directe au captage, sans transformation.;Captage;Oui;Non;Vecteur;Mensuelle;Catégoriel (1-3);Négatif (non protégé = critique);Captage non protégé = forte criticité;Qualitatif;Discrète;Absolu;;Couleur;Non;5 ans;Oui;Indicateur captage. Statut (oui/en cours/non). Instruction longue. Critère important de vulnérabilité réglementaire.
9;AEP;Enjeu;Type ouvrage;Type de captage (captage, forage, tranchée drainante).;Classe (forage / captage / tranchée drainante);Comparer les captages selon leur vulnérabilité intrinsèque liée à leur nature.;Nécessité de standardiser les typologies pour assurer une comparaison cohérente.;Attribution directe au captage, sans transformation.;Captage;Oui;Non;Vecteur;Fixe;Catégoriel mappé;Négatif (superficiel = critique);Captage superficiel = plus vulnérable → criticité forte;Qualitatif;Discrète;Absolu;;Couleur;;Fixe;Oui;Impact direct sur vulnérabilité (forage < superficiel). Peut être intégré dans la pondération selon le type.
10;AEP;Enjeu;Statut captage;Statut d’utilisation (actif, secours, abandonné).;Classe (actif, secours, inactif, abandonné).;Distinguer les captages selon leur statut afin de contextualiser leur valeur dans la comparaison.;Information descriptive pouvant évoluer, sans impact direct sur la criticité.;Attribution directe au captage, sans transformation. Utilisation à titre informatif;Captage;Non;Non;Vecteur;Fixe;Catégoriel;Neutre (info);Captage actif = enjeu, secours/inactif = criticité moindre;Qualitatif;Discrète;Absolu;;Texte;;Fixe;Oui;Information descriptive captage. Utile pour interface mais pas forcément intégré dans calcul multicritère.
