fiche_indicateur;id_indicateur;enjeux-;Famille-indicateur-;nom_indicateur;description_indicateur_technique;description_indicateur_utilisateur;actif;Analyse_multicriteres;unite;objectif;modalites;support_spatial;Ponderation;spatialisation_H3;normalisation_methode;sens_indicateur;definition_criticite;quantitatif_qualitatif;discret_continu;relatif_absolu;implantation;representation_cartographique;synthese_echanges-1;synthese_echanges-2
1;1;Enjeux AEP;Enjeu;Capacité de production;Quantité d’eau que la source peut fournir (référence de période sèche).;"Estimation de la quantité d'eau prélevable au niveau de la ressource en respectant un objectif de gestion visant à laisser en tout temps 50% de la ressource s'écouler vers l'aval, notamment en période d'étiage médian. Cette information s'appuie sur la ressource ""Hydrométrie – Stations DAVAR / Bassins versants aux limnimètres"" produite par la DAVAR, qui regroupe les métadonnées des stations de jaugeage et les limnimètres territoriaux.";oui;oui;m3/j;Comparer la capacité des captages à fournir de l’eau en période contrainte (sécheresse, inondation, glissement de terrain) afin d’identifier les ressources les plus robustes ou les plus limitées.;Affectation au captage puis propagation aux unités associées (bassin versant, périmètres, unité de distribution).;Captage;Oui;Non;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Faible capacité = forte criticité (vulnérable), forte capacité = faible criticité;Quantitatif;Continue;Absolu;Ponctuelle;Cercle proportionnel;Donnée issue DAVAR. Indicateur porté par le captage puis propagé au BV. Discussion sur agrégation multi-captages et intégration dans analyse multicritère avec normalisation.;
2;2;Enjeux AEP;Enjeu;Longueur réseau;Longueur totale des canalisations d’eau potable.;Établit la longueur approximative des réseaux d'adduction et de distribution de l'unité de distribution (UD) associée à la ressource. Ces données proviennent des registres de l'unité de distribution gérés par la DASS, initialement destinés à une vocation administrative interne décrivant les infrastructures linéaires.;oui;oui;km;Comparer l’importance des infrastructures dépendantes de chaque captage afin d’identifier ceux dont la défaillance aurait le plus d’impact.;Agrégation par unité de distribution puis association au captage, en évitant les doublons.;UD;Oui;Non;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Plus le réseau est long, plus les enjeux sont élevés → criticité stratégique élevée;Quantitatif;Continue;Absolu;Ponctuelle;Cercle proportionnel;Donnée UD (unité de distribution). Problème de structuration base DAS (non relationnelle). Attention aux doublons si plusieurs captages alimentent une même UD.;
3;3;Enjeux AEP;Enjeu;Capacité réservoir;Quantité d’eau pouvant être stockée pour faire face aux besoins.;Établit le volume de stockage des réservoirs d'eau de l'unité de distribution (UD) associée à la ressource. Cet indicateur mobilise les informations administratives internes de la DASS relatives aux capacités de stockage d'eau potable des unités de distribution.;oui;oui;m3;Comparer la capacité de stockage associée aux captages afin d’identifier les systèmes les plus résilients face aux aléas.;Somme des volumes par unité de distribution, puis rattachement au captage.;UD;Oui;Non;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Faible stockage = forte criticité (manque résilience), fort stockage = faible criticité;Quantitatif;Continue;Absolu;Ponctuelle;Cercle proportionnel;Indicateur UD → captage → BV. Même logique que réseau. Sert à caractériser les infrastructures AEP dans l’analyse multicritère.;
4;4;Enjeux AEP;Enjeu;Traitement;Type de traitement appliqué à l’eau avant distribution.;Définit le type de traitement d'eau associé à la ressource en eau avant sa mise en distribution. La donnée est issue des fichiers de l'unité de distribution de la DASS, qui décrivent le fonctionnement technique et sanitaire des installations de traitement.;oui;oui;Classe (pas de traitement / traitement partiel / traitement complet);Comparer le niveau de sécurisation sanitaire des captages afin d’identifier ceux présentant des risques pour l’alimentation en eau potable.;Attribution d’une classe standardisée par unité de distribution, puis association au captage.;UD;Oui;Non;Catégoriel mappé (1-3);Positif (absence = critique / présence = mieux);Absence de traitement = criticité forte (bien que si des traitements sont fait c’est que la ressource est déjà impactée par des polluants), traitement complet = criticité faible;Qualitatif;Discrète;Absolu;Ponctuelle;Couleur;Donnée UD. Sert à qualifier la sécurisation AEP. Intégré comme indicateur d’enjeu (niveau d’équipement).;
5;5;Enjeux AEP;Enjeu;Interconnexion;Présence de connexions avec d’autres réseaux d’eau.;Établit la présence de connexions avec d'autres unités de distribution (UD) pouvant servir de secours. Cet indicateur utilise les informations de l'unité de distribution gérées par la DASS pour identifier la présence de liaisons physiques entre les réseaux d'eau.;oui;oui;Oui/Non;Comparer le niveau de dépendance des captages à une ressource unique afin d’identifier ceux pouvant bénéficier d’un captage de secours.;Attribution d’un statut binaire par unité de distribution, sans agrégation complexe.;UD;Non;Non;2 classes binaires mappé en classe 1 & classe 3;Positif (absence = critique / présence = mieux);Absence d’interconnexion = forte criticité (pas de secours), présence = criticité faible (à confirmer);Qualitatif;Discrète;Absolu;Ponctuelle;Texte;Indicateur UD. Débat : diminue vulnérabilité mais peut propager pollution. Sens non tranché pour pondération.;
6;6;Enjeux AEP;Enjeu;Population desservie;Nombre de personnes alimentées par la ressource.;Estimation du nombre d'habitants rattachés à l'unité de distribution (UD) alimentés par la ressource. Le calcul s'appuie sur les fichiers administratifs internes de suivi des abonnés issus de la base de données de l'unité de distribution de la DASS.;oui;oui;Nombre;Comparer les captages selon le nombre de personnes dépendantes afin d’identifier les ressources les plus stratégiques pour l’alimentation en eau.;Affectation par unité de distribution puis agrégation au captage.;UD;Oui;Non;Classes 3 niveaux;Valeur de classe appliquée arbitrairement;Plus la population est élevée, plus le captage est stratégique → criticité élevée;Quantitatif;Continue;Absolu;Ponctuelle;Cercle proportionnel;Donnée UD issue de la méthode exploité dans le projet pressionPPE. Indicateur clé d’enjeu. Utilisé dans pondération multicritère.;
7;7;Enjeux AEP;Enjeu;Statut AODPE;Présence ou non d’une autorisation officielle.;"Établit le statut de l'autorisation de prélèvement d'eau de la ressource et les informations associées, comme le numéro d'arrêté et le volume autorisé. Cet indicateur de conformité s'appuie sur la base ""AODPE"" de la DAVAR, qui centralise les données administratives relatives aux autorisations.";oui;oui;Oui/Non;Comparer les captages selon leur niveau de conformité réglementaire afin d’identifier les situations à risque.;Attribution directe au captage, sans transformation.;Captage;Oui;Non;2 classes binaires mappé en classe 1 & classe 3;Positif (non conforme = critique);Absence d’autorisation = criticité forte (non conformité);Qualitatif;Discrète;Absolu;Ponctuelle;Couleur;Indicateur captage. Donnée réglementaire DAVAR. Oui/non. Important pour conformité et intégration dans analyse.;
8;8;Enjeux AEP;Enjeu;Statut PPE;Statut de protection légal et spatial autour de la ressource d’eau potable.;"Établit le statut du périmètre de protection établi pour la ressource en fonction du type d'arrêté le définissant (État, GNC ou Aucun). L'indicateur exploite la ressource ""Périmètres de protection des eaux"" de la DAVAR pour refléter l'état d'avancement des dossiers administratifs de protection réglementaire.";oui;oui;Oui / En cours / Non / historique (Etat);Comparer les captages selon leur niveau de protection afin d’identifier ceux les plus exposés aux pressions.;Attribution directe au captage, sans transformation.;Captage;Oui;Non;Catégoriel mappé (1-3);Valeur de classe non ordonnée et donc appliquée arbitrairement;Captage non protégé = forte criticité;Qualitatif;Discrète;Absolu;Ponctuelle;Couleur;Indicateur captage. Statut (oui/en cours/non). Instruction longue. Critère important de vulnérabilité réglementaire.;
9;9;Vulnérabilité Intrinsèque;Vulnérabilité;Type ouvrage;Type de captage (captage, forage, tranchée drainante).;"Établit le type de ressource en eaux en fonction de l'ouvrage, tel que le captage superficiel, le forage ou la tranchée drainante. L'indicateur s'appuie sur la base ""Captages d'eau"" de la DAVAR répertoriant les caractéristiques techniques des ouvrages de prélèvement.";oui;oui;Classe (forage / captage / tranchée drainante);Comparer les captages selon leur vulnérabilité intrinsèque liée à leur nature {un captage superficiel est considéré comme plus vulnérable qu'un forage profond dans les calculs de criticité);Attribution directe au captage, sans transformation.;Captage;Oui;Non;Catégoriel mappé (1-3);Valeur de classe non ordonnée et donc appliquée arbitrairement;Captage superficiel = plus vulnérable → criticité forte;Qualitatif;Discrète;Absolu;Ponctuelle;Couleur;Impact direct sur vulnérabilité (forage < superficiel). Peut être intégré dans la pondération selon le type.;
10;10;Vulnérabilité Intrinsèque;Vulnérabilité;Statut captage;Statut d’utilisation (actif, secours, abandonné).;"Établit s'il s'agit d'une ressource principale (actif), d'une ressource utilisée occasionnellement (secours) ou d'une ressource abandonnée. Cette donnée mobilise la ressource ""Captages d'eau"" produite par la DAVAR décrivant l'état d'utilisation opérationnelle de chaque point d'eau.";oui;oui;Classe (actif, secours, inactif, abandonné).;Distinguer les captages selon leur statut afin de contextualiser leur valeur dans la comparaison.;Attribution directe au captage, sans transformation. Utilisation à titre informatif;Captage;Non;Non;Catégoriel mappé (1-3);Valeur de classe non ordonnée et donc appliquée arbitrairement;Captage actif = enjeu, secours/inactif = criticité moindre;Qualitatif;Discrète;Absolu;Ponctuelle;Texte;Information descriptive captage. Utile pour interface mais pas forcément intégré dans calcul multicritère.;
