id_indicateur;nom_indicateur;id_groupe;Sous-groupe d'objectif
1;Capacité de production;2;Robustesse et résilience technique
2;Longueur réseau;1;Poids stratégique de la desserte
3;Capacité réservoir;2;Robustesse et résilience technique
4;Traitement;3;Sécurisation sanitaire et réglementaire
5;Interconnexion;2;Robustesse et résilience technique
6;Population desservie;1;Poids stratégique de la desserte
7;Statut AODPE;3;Sécurisation sanitaire et réglementaire
8;Statut PPE;3;Sécurisation sanitaire et réglementaire
9;Type ouvrage;4;Contextualisation
10;Statut captage;4;Contextualisation
100;Zones UNESCO;5;Valeur patrimoniale et réglementaire
101;Zones protégées provinciales;5;Valeur patrimoniale et réglementaire
102;KBA / ZICO;6;Richesse biologique et rareté
103;Espèces menacées;6;Richesse biologique et rareté
104;Espèces menacées (Forêt sèche);6;Richesse biologique et rareté
105;Occupation sol (couvert végétal);7;État écologique et rôle protecteur
106;Occupation sol (couvert forestier);7;État écologique et rôle protecteur
107;Occupation sol (surfaces agricoles);9;Fragilité des sols et transferts
200;Incendies cumulés;8;Perturbations majeures du milieu (Aléa)
201;Surface érosion;9;Fragilité des sols et transferts (chronique)
202;Terrain nu;9;Fragilité des sols et transferts (chronique)
203;Glissement terrain;9;Perturbations majeures du milieu (Aléa)
204;Espèces exotiques envahissantes (EEE);8;Fragilité des sols et transferts (chronique)
300;ICPE;10;Activités à risque
301;Activité minière;10;Activités à risque
302;Urbanisation;11;Niveau d'artificialisation et densité
304;Habitations;11;Niveau d'artificialisation et densité
305;Franchissements;12;Infrastructures et risques de dégradation des eaux
306;Linéaire routes;12;Infrastructures et risques de dégradation des eaux
402;Vulnérabilité intrinsèque des eaux souterraines;15;Sensibilité naturelle
401;Géologie;15;Sensibilité naturelle
500;BBR;13;Tension des usages
501;Pluviométrie;14;Apports naturels
502;Niveau nappes;14;Apports naturels
503;AODPE nombre;13;Tension des usages
504;AODPE volume;13;Tension des usages
505;Qualité eau;16;État sanitaire
