id_indicateur;nom_famille;Nom_theme;groupe;nom_indicateur;description_indicateur;objectif;priorite
1;Enjeu;Enjeux AEP;Importance captage;Capacité de production;Quantité d’eau que la source peut fournir (référence de période sèche).;Comparer la capacité des captages à fournir de l’eau en période contrainte (sécheresse, inondation, glissement de terrain) afin d’identifier les ressources les plus robustes ou les plus limitées.;oui
6;Enjeu;Enjeux AEP;Importance captage;Population desservie;Nombre de personnes alimentées par la ressource.;Comparer les captages selon le nombre de personnes dépendantes afin d’identifier les ressources les plus stratégiques pour l’alimentation en eau.;oui
10;Enjeu;Enjeux AEP;Importance captage;Statut captage;Statut d’utilisation (actif, secours, abandonné).;Distinguer les captages selon leur statut afin de contextualiser leur valeur dans la comparaison.;oui
2;Enjeu;Enjeux AEP;Niveau infrastructures;Longueur réseau;Longueur totale des canalisations d’eau potable.;Comparer l’importance des infrastructures dépendantes de chaque captage afin d’identifier ceux dont la défaillance aurait le plus d’impact.;oui
3;Enjeu;Enjeux AEP;Niveau infrastructures;Capacité réservoir;Quantité d’eau pouvant être stockée pour faire face aux besoins.;Comparer la capacité de stockage associée aux captages afin d’identifier les systèmes les plus résilients face aux aléas.;oui
4;Enjeu;Enjeux AEP;Sécurité sanitaire et règlementaire;Traitement;Type de traitement appliqué à l’eau avant distribution.;Comparer le niveau de sécurisation sanitaire des captages afin d’identifier ceux présentant des risques pour l’alimentation en eau potable.;oui
7;Enjeu;Enjeux AEP;Sécurité sanitaire et règlementaire;Statut AODPE;Présence ou non d’une autorisation officielle.;Comparer les captages selon leur niveau de conformité réglementaire afin d’identifier les situations à risque.;oui
8;Enjeu;Enjeux AEP;Sécurité sanitaire et règlementaire;Statut PPE;Statut de protection légal et spatial autour de la ressource d’eau potable.;Comparer les captages selon leur niveau de protection afin d’identifier ceux les plus exposés aux pressions.;oui
11;Enjeu;Enjeux AEP;Sécurité sanitaire et règlementaire;Statut du foncier;Typologie permet d'identifier le type de propriétaire de la parcelle;Comparer les captages selon leur implantation sur dans le cadastre afin de déterminer de potentiel vulnérabilité réglementaire;oui
5;Enjeu;Enjeux AEP;Vulnérabilité structurelle;Interconnexion;Présence de connexions avec d’autres réseaux d’eau.;Comparer le niveau de dépendance des captages à une ressource unique afin d’identifier ceux pouvant bénéficier d’un captage de secours.;oui
